symbols,themes,symbol_to_themes,ideology,self_perception,writing_style
"credit of the Empire, funds, lower rate of interest, capitalists, Mexico nationally, Norton I, Emperor of the United States and Protector of Mexico, Board of Brokers, Script of Norton I, stock list, Chief Crowley, royal hand and seal","power, authority, financial manipulation, imperialism, command","credit of the Empire->financial manipulation, Emperor of the United States and Protector of Mexico->power and imperialism, Board of Brokers->authority, Script of Norton I->power, stock list->financial manipulation, Chief Crowley->authority, royal hand and seal->power","imperialism, authoritarianism",,"formal, commanding, authoritative"
"gigantic fraud, Lent Harpeading Diamond Company, Grand Jury’s attention, royal hand and seal","justice, honor, protection, consequence, authority","gigantic fraud->justice, Lent Harpeading Diamond Company->protection, Grand Jury’s attention->authority, royal hand and seal->authority","authoritarian, protective, honor-bound",,"formal, authoritative, threatening"
"Forty-Second Congress, Norton I, Empire, private estate of the Emperor, Imperial Receivers","authority, power, responsibility, accountability","Forty-Second Congress->authority, Norton I->power, Empire->power, private estate of the Emperor->authority, Imperial Receivers->responsibility","autocracy, authority",,"commanding, authoritative, formal"
"doctrine of the Church, Hebrew and Christian faith, foreign churches, Americanized, Sunday Law, destruction of horses, Franco Prussian war, epizootic disease, Superintendent Harris, Industrial School, Board of Supervisors","Religious unity, Americanization of foreign entities, Authority and command, Public satisfaction, Animal welfare","doctrine of the Church->Religious unity, Hebrew and Christian faith->Religious unity, foreign churches->Americanization of foreign entities, Americanized->Americanization of foreign entities, Sunday Law->Religious unity, destruction of horses->Animal welfare, Franco Prussian war->Animal welfare, epizootic disease->Animal welfare, Superintendent Harris->Public satisfaction, Industrial School->Public satisfaction, Board of Supervisors->Authority and command","Authoritarian, Conservative, Reformist",,"Formal, Commanding, Assertive"
"rose, Indian Chiefs, Emperor, arrest and imprisonment","loyalty, rebellion, authority, power","rose->rebellion, Indian Chiefs->loyalty, Emperor->authority, arrest and imprisonment->power","authoritarian, imperialistic",,"commanding, authoritative, formal"
"Gardens, Friday morning Court, funds, money, land, prison","power, authority, conflict, wealth","Gardens->power, Friday morning Court->authority, funds->wealth, money->wealth, land->wealth, prison->conflict","authoritarian, assertive",,"formal, assertive, commanding"
"Congress, railroad corporations, loans and subsidies, bribery and corruption, fraudulent accounts, Norton I, Emperor of the United States and Protector of Mexico, condemnation of interests, benefit of the Government","fraud, corruption, power, justice, governance","Congress->governance, railroad corporations->power, loans and subsidies->fraud, bribery and corruption->corruption, fraudulent accounts->fraud, Norton I->power, Emperor of the United States and Protector of Mexico->power, condemnation of interests->justice, benefit of the Government->governance","populist, anti-corruption, authoritarian",,"formal, authoritative, declarative"
"native Indian, Indian Chiefs, Modoc War, Norton I, Dei Gratia Emperor of the United States and Protector of Mexico, Governor Booth, suitable corps, envoys, scene of warfare, Chiefs, San Francisco, Calumet, Emperor, Telegram to Europe, Emperor William of Prussia, National Assembly, Sword of France, Sedan, Imperial brother","conflict, negotiation, power, authority, imperialism","native Indian->conflict, Indian Chiefs->conflict, Modoc War->conflict, Norton I->power, authority, Dei Gratia Emperor of the United States and Protector of Mexico->power, authority, imperialism, Governor Booth->authority, suitable corps->power, authority, envoys->negotiation, scene of warfare->conflict, Chiefs->power, San Francisco->negotiation, Calumet->negotiation, Emperor->power, authority, Telegram to Europe->imperialism, Emperor William of Prussia->power, authority, National Assembly->authority, Sword of France->power, Sedan->conflict, Imperial brother->power, authority","imperialist, authoritarian, negotiator",,"formal, commanding, imperial"
"Treaties and Commercial Relations with China, Chinese labor, Emperor, Samuel J. Clarke, Peralta grant to the San Antonio Ranch, rents, seal and signature","labor exploitation, commercial diplomacy, property rights, fraud","Treaties and Commercial Relations with China->commercial diplomacy, Chinese labor->labor exploitation, Emperor->commercial diplomacy, Samuel J. Clarke->fraud, Peralta grant to the San Antonio Ranch->property rights, rents->property rights, seal and signature->property rights","free trade, labor rights, respect for property rights",,"declarative, authoritative, formal"
"King Kamehameha, VI, Hawaiian people, throne, Bible, unity of the churches, spirit of justice, dissension, brighter and purer light, Queen Emma, Norton I., Emperor U. S., Protector of Mexico, Schuyler Colfax affair, Boss Tweed trial, Washington Government, National Convention, Constitution","leadership, unity, justice, reformation, power, corruption","King Kamehameha, VI->leadership, Hawaiian people->unity, throne->power, Bible->unity, spirit of justice->justice, dissension->corruption, brighter and purer light->reformation, Norton I.->leadership, Emperor U. S.->power, Protector of Mexico->power, Schuyler Colfax affair->corruption, Boss Tweed trial->corruption, Washington Government->corruption, National Convention->reformation, Constitution->power","anti-corruption, reformist",,"formal, respectful, authoritative"
"Emperor of the United States and Protector of Mexico, Captain Jack, royal hand and seal","war, neglect of authority, peace negotiation","Emperor of the United States and Protector of Mexico->authority, neglect of authority; Captain Jack->war, peace negotiation; royal hand and seal->authority","imperialism, absolutism",,"formal, authoritative, historical"
"Emperor, seal and signature","Misunderstanding, opinion, state or church matters","Emperor->opinion, seal and signature->authenticity",,,"Formal, authoritative"
"Rip Van Winkle sleep, Chinese junk, Yankee clipper, American flag, tail of progression","material prosperity, technological advancement, national pride, progress","Rip Van Winkle sleep->national stagnation, Chinese junk and Yankee clipper->technological advancement and comparison, American flag->national pride, tail of progression->lack of progress","imperialism, progressivism",,"argumentative, persuasive, formal"
"telegraph, gigantic forgeries, Bank of England, ring of Americans, American government, honor","crime, justice, international relations, reputation","telegraph->communication, gigantic forgeries->crime, Bank of England->international relations, ring of Americans->crime, American government->justice, honor->reputation","authoritarian, nationalistic",,"formal, commanding"
"Torchlight, MENE, MENE TEKEL, UPHARSIN, Constitution","law, administration, reputation","Torchlight->illumination, understanding; MENE, MENE TEKEL, UPHARSIN->judgment, accountability; Constitution->law, governance","constitutionality, legality, reputation improvement",,"authoritative, prescriptive, allegorical"
"lynching of Tarpey, Norton I, Emperor of the United States and Protector of Mexico","contempt and disrespect for the law, determination to correct wrongs, enforcement of laws","lynching of Tarpey->contempt and disrespect for the law, Norton I->determination to correct wrongs, enforcement of laws","justice, law and order, anti-lynching",,"formal, authoritative, commanding"
"Mr. Bogart, Emperor, Constitution, Mr. Robeson, President, Secretary of the Navy, Cabinet, Norton I, Father Buchard, Frank Pixley, Chinese, Pacific Coast, Thomas Mooney, dominions","Power dynamics, Authority and responsibility, Intolerance and xenophobia","Emperor->Power dynamics, Constitution->Authority and responsibility, Mr. Robeson->Power dynamics, President->Authority and responsibility, Secretary of the Navy->Power dynamics, Cabinet->Power dynamics, Norton I->Power dynamics, Father Buchard and Frank Pixley->Intolerance and xenophobia, Chinese->Intolerance and xenophobia, Pacific Coast->Intolerance and xenophobia, Thomas Mooney->Intolerance and xenophobia, dominions->Power dynamics","Authoritarian, Pragmatic",,"Formal, Directive"
"Emperor, Europe, Imperial script","authority, financial control, punishment","Emperor->authority, Europe->financial control, Imperial script->financial control",,,"commanding, authoritative"
"sea-going ships, steamship Atlantic, Norton I, Emperor of the United States and Protector of Mexico","justice, authority, responsibility, safety","sea-going ships->safety, steamship Atlantic->responsibility, Norton I, Emperor of the United States and Protector of Mexico->authority,justice","authoritarian, just",,"formal, authoritative, assertive"
"Cachise, native chiefs, Modoc tribe, Norton I, Dei Gratia, Emperor of the United States and Protector of Mexico, royal hand","justice, policy and treatment of North American Indians, civilization, reclamation from barbarism, prohibition of unnecessary killing, prisoners of war","Cachise->native chiefs, Modoc tribe->prisoners of war, Norton I->Emperor of the United States and Protector of Mexico, royal hand->authority","imperialism, paternalism, civilization mission",,"formal, authoritative, imperial"
"Indian chiefs, Indian agents, Norton I, Emperor of the United States, Protector of Mexico, a large force","justice, punishment, fraud, authority, imperialism","Indian chiefs->authority, Indian agents->fraud, Norton I->authority and imperialism, Emperor of the United States->imperialism, Protector of Mexico->imperialism, a large force->punishment and authority","imperialistic, authoritarian",,"formal, commanding, assertive"
"Captain Jack, Emperor, Indian tribes, United States and Mexico, army, Modocs, settlers, Lava Beds","peace, authority, protection, negotiation","Captain Jack->peace, Emperor->authority, Indian tribes->peace, United States and Mexico->authority, army->protection, Modocs->negotiation, settlers->protection, Lava Beds->negotiation",,,"formal, commanding, authoritative"
"gold currency, script of Norton I, National debt, State of Louisiana, rival factions Governments, U. S. Army","economic instability, autocracy, conflict resolution, authority","gold currency->economic instability, script of Norton I->economic instability, National debt->economic instability, State of Louisiana->conflict resolution, rival factions Governments->conflict resolution, U. S. Army->authority","monarchy, autocracy",,"formal, authoritative, commanding"
"J. G. Pirse, Captain of the Monongahola Guard, customary salute, discharge, election, Proscriptive traitors, Imperial rights","Loyalty, Disloyalty, Power, Authority, Warning","J. G. Pirse, Captain of the Monongahola Guard->Loyalty, Disloyalty, customary salute->Loyalty, discharge->Disloyalty, Power, election->Power, Authority, Proscriptive traitors->Disloyalty, Warning, Imperial rights->Authority, Power","Authoritarian, Militaristic",,"Formal, Authoritative, Warning"
"Emperor, North American Indians, Colonel Jack Hayes, Major Jack Stratman, Colonel Harry Linden, Colonel W. H. L. Barnes, Lieutenant-Colonel John Scott, Lava Beds, sharp-shooters","leadership, authority, protection, military intervention","Emperor->leadership, North American Indians->protection, Colonel Jack Hayes, Major Jack Stratman, Colonel Harry Linden, Colonel W. H. L. Barnes, Lieutenant-Colonel John Scott->military intervention, Lava Beds->military intervention, sharp-shooters->protection","imperial, authoritative",,"formal, commanding"
"treaties with China, Government of the American people, Empire of the United States, Norton I, Dei Gratia Emperor of the United States and Protector of Mexico, Board of Supervisors of the City and County of San Francisco, Chinese Question, royal revenues, Modoc war","authority, power, control, governance, empire, international relations","treaties with China->international relations, Government of the American people->governance, Empire of the United States->empire, Norton I->authority, Dei Gratia Emperor of the United States and Protector of Mexico->power, Board of Supervisors of the City and County of San Francisco->control, Chinese Question->international relations, royal revenues->power, Modoc war->control","imperialism, autocracy, absolutism",,"formal, authoritative, historical"
"Modocs, Captain Jack, his braves and his squaws, Goat Island, City of San Francisco, foreign war vessels, claim, script, bonds, Emperor, properly appointed agents","civilization, barbarism, kindness, friendship, protection, authority, legitimacy","Modocs->barbarism, civilization, Captain Jack, his braves and his squaws->barbarism, kindness, friendship, Goat Island->protection, City of San Francisco->protection, foreign war vessels->threat, claim, script, bonds->authority, legitimacy, Emperor->authority, legitimacy, properly appointed agents->authority","imperialism, paternalism",,"formal, authoritative, commanding"
"cholera, plague, medical fraternity, Norton I, Emperor of the United States, Protector of Mexico","plague control, authority, obedience, punishment","cholera->plague control, Norton I->authority, medical fraternity->obedience, punishment->obedience",,,"formal, authoritative, directive"
"His Majesty, the Shah of Persia, Norton, Dei Gratia, Emperor, Protector of Mexico","National dignity, Respect, Authority","His Majesty, the Shah of Persia->Respect, Authority; Norton, Dei Gratia, Emperor, Protector of Mexico->National dignity, Authority",,,"Formal, Commanding"
"French and Prussian, Fourth of July, Lafayette Guard, San Francisco Fusiliers, target match, worst shots","foreign dissension, prevention of war, command, penalty, Emperor and Protector of Mexico","French and Prussian->foreign dissension, Fourth of July->prevention of war, Lafayette Guard->command, San Francisco Fusiliers->command, target match->prevention of war, worst shots->penalty","Imperialism, Peacekeeping, Power",,"Commanding, Formal, Decisive"
"advances, paltry amounts, claims and royalties, parties, closed down, action, punishment, confiscation of their estates","unfair business practices, exploitation, legal consequences","advances->unfair business practices, paltry amounts->exploitation, claims and royalties->unfair business practices, parties->exploitation, closed down->unfair business practices, action->legal consequences, punishment->legal consequences, confiscation of their estates->legal consequences","justice, fairness",,"formal, authoritative, direct"
"Democratic County Convention, Constitution of these United States, Norton I, Emperor of the United States and Protector of Mexico, N. P. Railroad","power, authority, change, governance","Democratic County Convention->power, Constitution of these United States->governance, Norton I->authority, Emperor of the United States and Protector of Mexico->power, N. P. Railroad->change","authoritarianism, absolutism",,"formal, authoritative, decisive"
"frauds, stock brokers, Stock Exchange, Grand Jury, justice","financial fraud, market manipulation, justice","frauds->financial fraud, stock brokers->financial fraud, Stock Exchange->market manipulation, Grand Jury->justice, justice->justice",,,"formal, legal, authoritative"
"Captain Jack and his tribe, Emperor Norton, U. S. Army, seal and signature","power, authority, surrender, honor","Captain Jack and his tribe->surrender, Emperor Norton->power,authority, U.S. Army->honor",,,"formal, authoritative"
"fire of Portland, Oregon, Churches over the Pacific coast, Norton I, Emperor","disaster, generosity, appeal, charity","fire of Portland, Oregon->disaster, Churches over the Pacific coast->charity, Norton I, Emperor->appeal","humanitarian, empathetic",,"formal, authoritative, compassionate"
"The Old International Hotel, obstructions, New Montgomery Avenue, Norton I, Emperor of the United States and Protector of Mexico, ensuing election, bad credit","progress, damage, authority, power, political cooperation, economic recovery","The Old International Hotel->progress, obstructions->damage, New Montgomery Avenue->progress, Norton I->authority, Emperor of the United States and Protector of Mexico->power, ensuing election->political cooperation, bad credit->economic recovery","authoritarian, problem-solving, cooperative",,"formal, commanding, persuasive"
"Capt. Jack and the other Indians, Court Martial, Indian agents, Emperor of the United States and Protector of Mexico, Imperial decree","Conflict, injustice, power, imperialism","Capt. Jack and the other Indians->injustice, Court Martial->power, Indian agents->injustice, Emperor of the United States and Protector of Mexico->imperialism, Imperial decree->power","Anti-imperialism, egalitarianism",,"Formal, authoritative, critical"
"Emperor, telegram, imperial signature, authorized Ministry","authority, legitimacy, deception","Emperor->authority, telegram->deception, imperial signature->legitimacy, authorized Ministry->legitimacy","royalism, centralization",,"formal, authoritative, declarative"
"Emperor, foreign nation, subjects, Imperial Government of Norton I","loyalty, surveillance, disappointment, authority","Emperor->authority, foreign nation->disappointment, subjects->loyalty, Imperial Government of Norton I->surveillance","authoritarian, nationalistic",,"formal, authoritative"
"wreck of the steamship Costa Rica, Fog Whistle, screw, Clay Street Railroad, dummy","negligence, duty, safety, authority, punishment","wreck of the steamship Costa Rica->negligence, Fog Whistle->safety, screw->duty, Clay Street Railroad->safety, dummy->negligence","authoritarian, punitive, safety-conscious",,"formal, authoritative, directive"
"frauds, Indians, lands, court martial, Capt. Jack, prisoners, service of the United States army, Majesty, sign, handwriting, pen, tribute money, scrip","injustice, deceit, punishment, redemption, authority, value, communication","frauds->injustice, deceit, Indians->injustice, lands->deceit, court martial->punishment, Capt. Jack->redemption, prisoners->redemption, service of the United States army->redemption, authority, Majesty->authority, sign->communication, handwriting->communication, pen->communication, tribute money->value, scrip->value","pragmatism, justice, redemption",,"formal, authoritative, expressive"
"Reporters of the Press, black mail, Society Island, Emperor, filibustering expedition, Sandwich Islands, Duke of Manchester, ship 'Sunrise', United States Courts and officials","Misrepresentation, False Accusations, Diplomacy, Justice","Reporters of the Press->Misrepresentation, False Accusations, black mail->False Accusations, Society Island, Emperor->Diplomacy, filibustering expedition->False Accusations, Sandwich Islands->Diplomacy, Duke of Manchester->Diplomacy, ship 'Sunrise'->Justice, United States Courts and officials->Justice","Order, Justice, Truth",,"Formal, Authoritative"
"organizations, capital, labor, depreciation in value of material interest, destruction of confidence in the investment of money, Emperor of the United States and Protector of Mexico, dissolution of all such organizations, arrest and imprisonment of the ringleaders","economic instability, conflict between capital and labor, authority and power, enforcement of law and order","organizations->conflict between capital and labor, capital->economic instability, labor->economic instability, depreciation in value of material interest->economic instability, destruction of confidence in the investment of money->economic instability, Emperor of the United States and Protector of Mexico->authority and power, dissolution of all such organizations->enforcement of law and order, arrest and imprisonment of the ringleaders->enforcement of law and order","authoritarian, command economy",,"formal, authoritative, commanding"
"First National Bank, small check of $100, model for a Railway Switch, large estate, Directors, Norton I, Emperor of the United States and Protector of Mexico, confiscation to the State, imperial decree, royalty","abuse of power, injustice, authority, retribution","First National Bank->abuse of power, small check of $100->injustice, model for a Railway Switch->invention, large estate->wealth, Directors->authority, Norton I->authority, Emperor of the United States and Protector of Mexico->authority, confiscation to the State->retribution, imperial decree->authority, royalty->authority","authoritarian, imperialistic",,"formal, authoritative, aggressive"
"Marshal Morris, public officer, Norton I. Emperor U. S. and Protector of Mexico","misconduct, accountability, replacement, authority","Marshal Morris->misconduct, public officer->accountability, Norton I. Emperor U. S. and Protector of Mexico->authority","justice, order",,"formal, authoritative"
"fruit and vegetable market, Emperor of the United States and Protector of Mexico, the block bounded by Merchant and Clay, Sansome and Battery streets, the Board of Supervisors, market wagons","authority, controversy, urban planning, justice","fruit and vegetable market->controversy, Emperor of the United States and Protector of Mexico->authority, the block bounded by Merchant and Clay, Sansome and Battery streets->urban planning, the Board of Supervisors->justice, market wagons->urban planning",,,"formal, authoritative, declarative"
"Telegram to France, Emperor Norton I, President MacMahon","Judgment, Leadership, Presidential System","Telegram to France->Communication, Emperor Norton I->Leadership, President MacMahon->Leadership",,,"Formal, Direct"
"Supreme Court, royal authority, personal seal and signature, Emperor, public lands, private corporations, Mayor Alvord, China Basin, Booth et al, Norton I","Authority, Power, Ownership, Public vs Private, Law and Order","Supreme Court->Law and Order, royal authority->Power, personal seal and signature->Ownership, Emperor->Authority, public lands->Public vs Private, private corporations->Private, Mayor Alvord->Authority, China Basin->Ownership, Booth et al->Private, Norton I->Authority","Royalism, Statism",,"Formal, Authoritative, Legal"
"Major Alvord, carriage, Emperor, races, political arrangements, corrupt or cheating party, Mayor’s order, Ladies Relief Society of San Francisco","Corruption, Disobedience, Justice, Charity","Major Alvord->Disobedience, carriage->Corruption, Emperor->Authority, races->Entertainment, political arrangements->Corruption, corrupt or cheating party->Corruption, Mayor’s order->Authority, Ladies Relief Society of San Francisco->Charity",,,"Formal, Authoritative, Legal"
"Virginius difficulty, Norton I, Emperor of the United States and Protector of Mexico, John Parrott, Esq., Isaac Friedlander, Esq., Judge Ogden Hoffman, Frank Pixley and General Vallejo","diplomacy, desire for justice, investigation","Virginius difficulty->diplomacy, Norton I, Emperor of the United States and Protector of Mexico->desire for justice, John Parrott, Esq., Isaac Friedlander, Esq., Judge Ogden Hoffman, Frank Pixley and General Vallejo->investigation",,,"formal, authoritative"
"golden wreath, Telegram to the East, Constitutional Amendments","charity, gratitude, political reform","golden wreath->charity, gratitude; Telegram to the East->political reform; Constitutional Amendments->political reform",,,"formal, authoritative"
"Emperor Norton I, United and Protector of Mexico, royal hand and seal, United States Senator","authority, power, political influence, national governance, enforcement of decrees","Emperor Norton I->authority, United and Protector of Mexico->power, royal hand and seal->political influence, United States Senator->national governance","autocratic, authoritative, imperialistic",,"formal, commanding, assertive"
"London and San Francisco Bank, moderate rates of interest, usury laws","monetary policy, economic recession, authority","London and San Francisco Bank->monetary policy, moderate rates of interest->economic recession, usury laws->authority","egalitarian, fiscal conservative",,"formal, authoritative"
"Norton I, Dei Gracia Emperor of the United States and Protector of Mexico, Chinese quarters, City and County of San Francisco, separate locality","health protection, segregation, governmental decree, conflict resolution","Norton I, Dei Gracia Emperor of the United States and Protector of Mexico->governmental decree, Chinese quarters->segregation, City and County of San Francisco->segregation, separate locality->health protection, conflict resolution","authoritarian, segregationist",,"formal, authoritative"
"Emperor, U. S. Treasurer’s office, U. S. sub-Treasurer, Mr. Sherman, National Convention, new Constitution, concealed weapons, French and German, public schools, Board of Education","Authority, Power, Law Enforcement, Education, Language, National Identity","Emperor->Authority, U. S. Treasurer’s office->Power, U. S. sub-Treasurer, Mr. Sherman->Authority, National Convention->National Identity, new Constitution->National Identity, concealed weapons->Law Enforcement, French and German->Language, public schools->Education, Board of Education->Education","Authoritarian, Nationalistic, Educationalist",,"Commanding, Formal, Assertive"
"patent for imitation of silver, Norton I, Dei Gratia Emperor of the United States and Protector of Mexico, Commissioner of Patents, San Francisco, California","fear, fraud, authority, control, protection","patent for imitation of silver->fraud, Norton I, Dei Gratia Emperor of the United States and Protector of Mexico->authority, control, Commissioner of Patents->control, San Francisco, California->authority",,,"formal, authoritative, commanding"
"Railroads, Empire, Constitution","criticism of current system, call for change, importance of infrastructure","Railroads->importance of infrastructure, Empire->criticism of current system, Constitution->call for change","reformist, critical",,"formal, authoritative, critical"
"American nation, citizenship, public schools, Emperor, Empire, Minister Plenipotentiary, Court of Honolulu, suitable vessel","Civil rights, Equality, Power, Authority, Imperialism","American nation->Equality, citizenship->Civil rights, public schools->Civil rights, Emperor->Power, Empire->Authority, Minister Plenipotentiary->Imperialism, Court of Honolulu->Imperialism, suitable vessel->Power","Equality, Democracy, Imperialism",,"Formal, Authoritative, Proclamatory"
"Fire Department, Norton I., Emperor of the United States and Protector of Mexico, David Scannel, Whitney Foreman, Hook and Ladder Company, Sandwich Islands","authority, power, control, leadership, order","Norton I., Emperor of the United States and Protector of Mexico->authority,power, Fire Department->order,control, David Scannel, Whitney Foreman->leadership",,,"formal, authoritative, commanding"
"Emperor’s seal and signature, Empire, $400000000 of currency, arrest and imprisonment","authority, loyalty, punishment, financial stability, power","Emperor’s seal and signature->authority, Empire->loyalty, $400000000 of currency->financial stability, arrest and imprisonment->punishment","authoritarian, imperialistic",,"formal, commanding, serious"
"The Cotton and Bag Factory, Emperor, Empire, Imperial Court, Norton I, Dei Gratia, Protector of Mexico, Platt’s Hall","Authority, Power, Control, Cooperation, Loyalty","Emperor->Authority, Empire->Power, Imperial Court->Control, Norton I->Power, Dei Gratia->Authority, Protector of Mexico->Power, Platt’s Hall->Cooperation","Monarchism, Imperialism",,"Formal, Commanding, Authoritative"
"Military, Empire, Emperor, clothing, palace","Disgrace, negligence, responsibility","Military->responsibility, Empire->disgrace, Emperor->negligence, clothing->negligence, palace->negligence",,,"Commanding, formal, accusatory"
"Vasquez, Norton I, Emperor of the United States and Protector of Mexico, law","authority, power, law and order","Vasquez->authority, Norton I->power, law->law and order",,,"formal, authoritative"
"Insane Asylums, money, sensationalism, Imperial Revenue, prairie chicken, lunch","economic hardship, mental health, sensationalism, scarcity","Insane Asylums->mental health, money->economic hardship, sensationalism->sensationalism, Imperial Revenue->economic hardship, prairie chicken->scarcity, lunch->scarcity","royal, commanding",,"formal, authoritative, humorous"
"State House at Little Rock, Arkansas, bayonet, British Consul at San Jose de Guatemala, import duty on brandies, tax for the manufacture of whiskey, sale and manufacture of wines and beer","abolition of State Constitutions, authority and power, international relations, taxation and commerce","State House at Little Rock, Arkansas->abolition of State Constitutions, bayonet->authority and power, British Consul at San Jose de Guatemala->international relations, import duty on brandies->taxation and commerce, tax for the manufacture of whiskey->taxation and commerce, sale and manufacture of wines and beer->taxation and commerce","authoritarian, interventionist, protectionist",,"commanding, formal, assertive"
"snobs in charge of the door, Norton I, Emperor of the United States","abuse of power, social hierarchies, resistance to authority","snobs in charge of the door->abuse of power, Norton I, Emperor of the United States->resistance to authority",,,"formal, authoritative, satirical"
"Central Pacific Railroad Co., President Leland Stanford, Norton I, Emperor","power, authority, ownership, control","Central Pacific Railroad Co.->ownership, President Leland Stanford->power, Norton I, Emperor->authority, control","imperialism, absolutism",,"formal, commanding, authoritative"
"royal seal and signature, Norton I, Emperor of the United States and Protector of Mexico","power, control, legitimacy, charity","royal seal and signature->power,control; Norton I, Emperor of the United States and Protector of Mexico->legitimacy","authoritarian, possessive",,"formal, assertive, authoritative"
"Norton I, Emperor of United States and Protector of Mexico, Fourth of July, De Young-Napthally affairs, City and County of San Francisco","authority, justice, public order, patriotism","Norton I, Emperor of United States and Protector of Mexico->authority,justice, De Young-Napthally affairs->justice,public order, City and County of San Francisco->public order, Fourth of July->patriotism","reformist, authoritarian, patriotic",,"formal, commanding, declarative"
"$50000 appropriation, Emperor, Washington, Nation, traitors, Sub Treasurer, United States, Mexico","power, unity, prosperity, happiness, obedience, warning, allegiance","$50000 appropriation->power, Emperor->power, Washington->unity, Nation->unity, traitors->warning, Sub Treasurer->obedience, United States->prosperity, Mexico->happiness","authoritarian, royalist",,"commanding, formal, authoritative"
"Telegram to Queen Victoria, news from Australasia, bush rangers, California, majesty’s subjects residing in our dominions, Norton I, Emperor of United States and Protector of Mexico","Migration, conflict, authority, disapproval","Telegram to Queen Victoria->authority, news from Australasia->migration, bush rangers->conflict, California->migration, majesty’s subjects residing in our dominions->disapproval, Norton I, Emperor of United States and Protector of Mexico->authority",,,"Formal, authoritative, confrontational"
"bonds of the California Pacific Railroad, Norton I., Emperor of the United States and Protector of Mexico, mortgage","debt, authority, sovereignty, financial security","bonds of the California Pacific Railroad->debt, financial security, Norton I.->authority, sovereignty, Emperor of the United States and Protector of Mexico->authority, sovereignty, mortgage->debt, financial security","capitalism, monarchism",,"formal, authoritative, assertive"
"ardent spirits, malt liquors, wine for the stomach’s sake","sanitation, life preservation, abstinence, law enforcement, exception for medicinal purposes","ardent spirits->abstinence, life preservation; malt liquors, wine for the stomach’s sake->exception for medicinal purposes","prohibitionist, health-conscious, authoritative",,"formal, decreative, authoritative"
"Emperor, Beecher-Tilton scandal, church people, one church and unity, Norton I, Emperor of United States, Protector of Mexico, case, documentary evidence, suitable decree","Judgment, Authority, Scandal, Religion, Unity","Emperor->Judgment, Emperor->Authority, Beecher-Tilton scandal->Scandal, church people->Religion, one church and unity->Religion, one church and unity->Unity, Norton I->Authority, Emperor of United States->Authority, Protector of Mexico->Authority, case->Scandal, documentary evidence->Scandal, suitable decree->Judgment","Authoritarian, Judgmental",,"Formal, Commanding"
"Emperor’s proclamations, editors and compositors","Apathy, Repetition, Negligence","Emperor’s proclamations->Apathy, editors and compositors->Negligence",,,"Satirical, Critique"
"Emperor, Beecher-Tilton scandal, church people, unity, Norton I, Dei gratia, Emperor of United States, Protector of Mexico, documentary evidence, suitable decree, two hundred millions of treasure, Comstock Lode, frauds, trustees, money scattered, Emperor’s license, honest administration","Authority, Scandal, Hypocrisy, Unity, Wealth, Fraud, Control, Honesty","Emperor->Authority, Beecher-Tilton scandal->Scandal, church people->Hypocrisy, unity->Unity, Norton I, Dei gratia, Emperor of United States, Protector of Mexico->Authority, documentary evidence->Honesty, suitable decree->Control, two hundred millions of treasure->Wealth, Comstock Lode->Wealth, frauds->Fraud, trustees->Fraud, money scattered->Wealth, Emperor’s license->Control, honest administration->Honesty","Authoritarian, Moralistic, Protective",,"Formal, Commanding, Accusatory"
"California, railroad bonds, Europe, Norton I, Dei gratia Emperor, United States, Protector of Mexico, Mr. Latham, London, Globe, San Francisco, bonds of the California Pacific Railroad Company, estate","determination, credit, responsibility, authority, command, penalty","California->determination, railroad bonds->credit, Europe->responsibility, Norton I->authority, Dei gratia Emperor->authority, United States->authority, Protector of Mexico->authority, Mr. Latham->command, London->responsibility, Globe->responsibility, San Francisco->responsibility, bonds of the California Pacific Railroad Company->credit, estate->penalty","authoritarian, responsible",,"commanding, authoritative, determined"
"Pacific Coast, silk interest, silk-worms, France, Italy, Emperor of the U. S. and Protector of Mexico, Mechanics’ Fair and the Agricultural Society","loss, desire, encouragement, production, replacement, order, payment","Pacific Coast->loss, silk interest->desire, silk-worms->production, France and Italy->encouragement, Emperor of the U. S. and Protector of Mexico->order, Mechanics’ Fair and the Agricultural Society->replacement, State->payment","authoritarian, imperialistic",,"formal, commanding, imperial"
"Indians, chiefs, war, Indian agents, Emperor, rebellious chiefs","Conflict, mistrust, communication, authority","Indians->Conflict, chiefs->authority, war->conflict, Indian agents->mistrust, Emperor->authority, rebellious chiefs->conflict","Imperialism, Authoritarianism",,"Formal, commanding"
"Ward Beecherism, Victoria Woodhulism, licentiousness in high places, Divine vengeance, fire and sword","Infant mortality, moral corruption, divine justice, national degradation","Ward Beecherism->moral corruption, Victoria Woodhulism->moral corruption, licentiousness in high places->moral corruption, Divine vengeance->divine justice, fire and sword->divine justice","Authoritarian, moralist",,"Formal, declarative, authoritative"
"Mechanics’ Institute Fair, Woolen Mills, Mr. Selby’s Shot Works, Centennial Exhibition","Labor representation, Industrial growth, National pride","Mechanics’ Institute Fair->Labor representation, Woolen Mills->Industrial growth, Mr. Selby’s Shot Works->Industrial growth, Centennial Exhibition->National pride","Progressivism, Industrialism",,"Commanding, Assertive"
